SCHOOL_NAME,LEADERS_RATING
"Mary E Courtenay Elementary Language Arts Center","Weak"
"Mary E McDowell Elementary School","Weak"
"Mary Gage Peterson Elementary School","Weak"
"Mary Lyon Elementary School","Weak"
"Mary Mapes Dodge Elementary Renaissance Academy","Weak"
"Mary McLeod Bethune Elementary School","Weak"
"Mason High School","Weak"
"Matthew A Henson Elementary School","Weak"
"Matthew Gallistel Elementary Language Academy","Weak"
"Medgar Evers Elementary School","Weak"
"Melville W Fuller Elementary School","Weak"
"Michael Faraday Elementary School","Weak"
"Michael M Byrne Elementary School","Weak"
"Michele Clark Academic Prep Magnet High School","Weak"
"Mildred I Lavizzo Elementary School","Weak"
"Milton Brunson Math & Science Specialty Elementary School","Weak"
"Minnie Mars Jamieson Elementary School","Weak"
"Miriam G Canter Middle School","Weak"
"Morgan Park High School","Weak"
"Morton School of Excellence","Weak"
"Moses Montefiore Special Elementary School","Weak"
"Mount Greenwood Elementary School","Weak"
"Mount Vernon Elementary School","Weak"
"Multicultural Academy of Scholarship","Weak"
"Myra Bradwell Communications Arts & Sciences Elementary School","Weak"
"Nathanael Greene Elementary School","Weak"
"Nathan Hale Elementary School","Weak"
"Nathaniel Pope Elementary School","Weak"
"Nathan R Goldblatt Elementary School","Weak"
"Nathan S Davis Elementary School","Weak"
"National Teachers Elementary Academy","Weak"
"Neal F Simeon Career Academy High School","Weak"
"Near North Elementary School","Weak"
"New Field Elementary School","Weak"
"New Millennium High School of Health at Bowen","Weak"
"Newton Bateman Elementary School","Weak"
"Nicholas Senn High School","Weak"
"Nicholson Technology Academy","Weak"
"Ninos Heroes Elementary Academic Center","Weak"
"Norman A Bridge Elementary School","Weak"
"North-Grand High School","Weak"
"North River Elementary School","Weak"
"Northside College Preparatory High School","Weak"
"Percy L Julian High School","Weak"
"Northside Learning Center High School","Weak"
"Northwest Middle School","Weak"
"Norwood Park Elementary School","Weak"
"Ogden International High School","Weak"
"Ole A Thorp Elementary Scholastic Academy","Weak"
"Oliver S Westcott Elementary School","Weak"
"Oliver Wendell Holmes Elementary School","Weak"
"Oriole Park Elementary School","Weak"
"Orozco Fine Arts & Sciences Elementary School","Weak"
"Orr Academy High School","Weak"
"Orville T Bright Elementary School","Weak"
"Oscar DePriest Elementary School","Weak"
"Oscar F Mayer Elementary School","Weak"
"Pablo Casals Elementary School","Weak"
"Park Manor Elementary School","Weak"
"Parkside Elementary Community Academy","Weak"
"Patrick Henry Elementary School","Weak"
"Paul Cuffe Math-Science Technology Academy Elementary School","Weak"
"Paul Laurence Dunbar Career Academy High School","Weak"
"Paul Revere Elementary School","Weak"
"Paul Robeson High School","Weak"
"Perkins Bass Elementary School","Weak"
"Pershing West Middle School","Weak"
"Peter A Reinberg Elementary School","Weak"
"Peter Cooper Elementary Dual Language Academy","Weak"
"Philip Rogers Elementary School","Weak"
"Phillip D Armour Elementary School","Weak"
"Phillip Murray Elementary Language Academy","Weak"
"Phobe Apperson Hearst Elementary School","Weak"
"Phoenix Military Academy High School","Weak"
"Pilsen Elementary Community Academy","Weak"
"Portage Park Elementary School","Weak"
"Pulaski International Academy Elmentary School","Weak"
"Rachel Carson Elementary School","Weak"
"Ralph H Metcalfe Elementary Community Academy","Weak"
"Ravenswood Elementary School","Weak"
"Ray Graham Training Center High School","Weak"
"Richard Edwards Elementary School","Weak"
"Richard Henry Lee Elementary School","Weak"
"Richard J Daley Elementary Academy","Weak"
"Richard J Oglesby Elementary School","Weak"
"Richard T Crane Technical Preparatory High School","Weak"
"Richard Yates Elementary School","Weak"
"Roald Amundsen High School","Weak"
"Robert A Black Magnet Elementary School","Weak"
"Robert Emmet Elementary School","Weak"
"Robert Fulton Elementary School","Weak"
"Robert Healy Elementary School","Weak"
"Robert H Lawrence Elementary School","Weak"
"Robert L Grimes Elementary School","Weak"
"Robert Lindblom Math & Science Academy High School","Weak"
"Robert Nathaniel Dett Elementary School","Weak"
"Roberto Clemente Community Academy High School","Weak"
"Rodolfo Lozano Bilingual & International Center Elementary Schoo","Weak"
"Roger C Sullivan High School","Weak"
"Ronald Brown Elementary Community Academy","Weak"
"Ronald E McNair Elementary School","Weak"
"Rosario Castellanos Elementary School","Weak"
"Roswell B Mason Elementary School","Weak"
"Rudyard Kipling Elementary School","Weak"
"Rueben Salazar Elementary Bilingual Center","Weak"
"Rufus M Hitch Elementary School","Weak"
"Salmon P Chase Elementary School","Weak"
"Samuel Gompers Fine Arts Options Elementary School","Weak"
"Sauganash Elementary School","Weak"
"Scott Joplin Elementary School","Weak"
"Sharon Christa McAuliffe Elementary School","Weak"
